"BARCODE","WELL_NAME","WELL_ID","BATCH_CODE","VOLUME","VOLUME_UNIT","CONCENTRATION","CONCENTRATION_UNIT"
"BF00007450","A05",56672,"CRA-024169-1",12,"uL",9.42,"mM"
"BF00007460","H06",56687,"CRA-024184-1",12,"uL",8.69,"mM"
"BF00007390","G23",56577,"CRA-024074-1",12,"uL",7.62,"mM"
"BF00007390","I23",56578,"CRA-024075-1",12,"uL",7.62,"mM"
"BF00007395","D15",56590,"CRA-024087-1",12,"uL",8.89,"mM"
"BF00007325","N03",56436,"CRA-023933-1",12,"uL",9.07,"mM"
"BF00007325","H07",56438,"CRA-023935-1",12,"uL",8.87,"mM"
"BF00007400","H23",56598,"CRA-024095-1",12,"uL",8.93,"mM"
"BF00007405","O13",56609,"CRA-024106-1",12,"uL",9.14,"mM"
"BF00007410","L08",56613,"CRA-024110-1",12,"uL",8.5,"mM"
"BF00007335","C19",56464,"CRA-023961-1",12,"uL",8.54,"mM"
"BF00007335","G19",56465,"CRA-023962-1",12,"uL",5.83,"mM"
"BF00007335","C20",56466,"CRA-023963-1",12,"uL",9.07,"mM"
"BF00007340","C24",56479,"CRA-023976-1",12,"uL",8.58,"mM"
"BF00007350","D10",56489,"CRA-023986-1",12,"uL",7.73,"mM"
"BF00007360","B06",56495,"CRA-023992-1",12,"uL",8.86,"mM"
"BF00007365","O03",56512,"CRA-024009-1",12,"uL",9.01,"mM"
"BF00007365","A05",56513,"CRA-024010-1",12,"uL",7.84,"mM"
"BF00007365","G07",56515,"CRA-024012-1",12,"uL",9.01,"mM"
"BF00007420","D19",56633,"CRA-024130-1",12,"uL",9.18,"mM"
"BF00007425","I09",56636,"CRA-024133-1",12,"uL",9.86,"mM"
"BF00007435","C09",56643,"CRA-024140-1",12,"uL",8.41,"mM"
"BF00007365","A11",56520,"CRA-024017-1",12,"uL",7.61,"mM"
"BF00007440","F10",56649,"CRA-024146-1",12,"uL",8.83,"mM"
"BF00007370","I06",56532,"CRA-024029-1",12,"uL",8.81,"mM"
"BF00007370","K06",56533,"CRA-024030-1",12,"uL",8.96,"mM"
"BF00007370","I15",56536,"CRA-024033-1",12,"uL",8.87,"mM"
"BF00007320","N24",57386,"CRA-024883-1",12,"uL",9.94,"mM"
"BF00007325","A16",57590,"CRA-025088-1",12,"uL",9.93,"mM"
"BF00007325","D16",57593,"CRA-025091-1",12,"uL",10.06,"mM"
"BF00007325","F16",57595,"CRA-025093-1",12,"uL",9.95,"mM"
"BF00007320","B12",57185,"CRA-024682-1",12,"uL",9.99,"mM"
"BF00007320","E12",57188,"CRA-024685-1",12,"uL",10.02,"mM"
"BF00007320","I12",57192,"CRA-024689-1",12,"uL",10.04,"mM"
"BF00007320","J12",57193,"CRA-024690-1",12,"uL",9.99,"mM"
"BF00007325","K03",57399,"CRA-024896-1",12,"uL",9.95,"mM"
"BF00007325","K16",57600,"CRA-025098-1",12,"uL",9.89,"mM"
"BF00007325","P16",57605,"CRA-025103-1",12,"uL",10.02,"mM"
"BF00007320","D13",57203,"CRA-024700-1",12,"uL",10.06,"mM"
"BF00007325","C05",57421,"CRA-024918-1",12,"uL",10.04,"mM"
"BF00007320","P13",57215,"CRA-024712-1",12,"uL",10.05,"mM"
"BF00007325","K05",57429,"CRA-024926-1",12,"uL",10.12,"mM"
"BF00007325","O05",57433,"CRA-024930-1",12,"uL",9.99,"mM"
"BF00007325","C06",57437,"CRA-024934-1",12,"uL",9.88,"mM"
"BF00007325","O17",57619,"CRA-025117-1",12,"uL",10.08,"mM"
"BF00007325","K06",57445,"CRA-024942-1",12,"uL",10.03,"mM"
"BF00007325","P18",57635,"CRA-025133-1",12,"uL",9.99,"mM"
"BF00007325","E19",57640,"CRA-025138-1",12,"uL",9.88,"mM"
"BF00007325","F19",57641,"CRA-025139-1",12,"uL",10.03,"mM"
"BF00007320","L03",57052,"CRA-024549-1",12,"uL",9.99,"mM"
"BF00007325","C07",57453,"CRA-024950-1",12,"uL",9.85,"mM"
"BF00007325","J07",57459,"CRA-024956-1",12,"uL",9.85,"mM"
