ID,BARCODE,WELL_ID,WELL_NAME,BATCH_CODE,VOLUME,VOLUME_STRING,VOLUME_UNIT,CONCENTRATION,CONCENTRATION_STRING,CONCENTRATION_UNIT
2529469,AP00000466,2541125,A01,CMPD-0000001-01A,40,NA,uL,NA,infinite,uM
2529470,AP00000466,2541125,A01,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529471,AP00000466,2541109,A02,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529472,AP00000466,2541109,A02,CMPD-0000006-01A,40,NA,uL,2,NA,uM
2529474,AP00000466,1092463,A03,CMPD-0075905-1,40,NA,uL,102.6,NA,uM
2529473,AP00000466,1092463,A03,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529476,AP00000466,1092464,A04,CMPD-0069517-1,40,NA,uL,102.3,NA,uM
2529475,AP00000466,1092464,A04,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529477,AP00000466,1092465,A05,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529478,AP00000466,1092465,A05,CMPD-0076394-1,40,NA,uL,101.4,NA,uM
2529480,AP00000466,1092466,A06,CMPD-0112647-1,40,NA,uL,101.6,NA,uM
2529479,AP00000466,1092466,A06,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529482,AP00000466,1092467,A07,CMPD-0102534-1,40,NA,uL,102.1,NA,uM
2529481,AP00000466,1092467,A07,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529483,AP00000466,1092468,A08,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529484,AP00000466,1092468,A08,CMPD-0094296-1,40,NA,uL,100.1,NA,uM
2529486,AP00000466,1092469,A09,CMPD-0060852-1,40,NA,uL,102.7,NA,uM
2529485,AP00000466,1092469,A09,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529487,AP00000466,1092470,A10,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529488,AP00000466,1092470,A10,CMPD-0041826-1,40,NA,uL,101.7,NA,uM
2529490,AP00000466,1092471,A11,CMPD-0027306-1,40,NA,uL,100.7,NA,uM
2529489,AP00000466,1092471,A11,CMPD-0000002-01A,40,NA,uL,20,NA,uM
2529491,AP00000466,1092472,A12,CMPD-0000002-01A,40,NA,uL,20,NA,uM
