BARCODE,WELL_NAME,BATCH_CODE,VOLUME,VOLUME_STRING,CONCENTRATION,CONCENTRATION_STRING,CONCENTRATION_UNIT,ID,WELL_ID,VOLUME_UNIT
TEST0001,A01,DMSO,40,NA,NA,infinite,uM,1,1,uL
TEST0001,A02,DMSO,40,NA,NA,infinite,uM,2,2,uL
TEST0001,A03,CMPD-0098526-1,40,NA,100.0318807,NA,uM,3,3,uL
TEST0001,A04,CMPD-0098526-1,40,NA,100.7201399,NA,uM,4,4,uL
TEST0001,A05,CMPD-0098526-1,40,NA,100.3381354,NA,uM,5,5,uL
TEST0001,A06,CMPD-0098526-1,40,NA,100.624014,NA,uM,6,6,uL
TEST0001,A07,CMPD-0094665-1,40,NA,100.5306196,NA,uM,7,7,uL
TEST0001,A08,CMPD-0094665-1,40,NA,100.7292064,NA,uM,8,8,uL
TEST0001,A09,CMPD-0094665-1,40,NA,100.3774357,NA,uM,9,9,uL
TEST0001,A10,CMPD-0094665-1,40,NA,100.9059702,NA,uM,10,10,uL
TEST0001,A11,CMPD-0136577-1,40,NA,100.2384519,NA,uM,11,11,uL
TEST0001,A12,CMPD-0136577-1,40,NA,100.17341,NA,uM,12,12,uL
TEST0001,A13,CMPD-0136577-1,40,NA,100.9224974,NA,uM,13,13,uL
TEST0001,A14,CMPD-0136577-1,40,NA,100.0095585,NA,uM,14,14,uL
TEST0001,A15,CMPD-0013142-1,40,NA,100.6487481,NA,uM,15,15,uL
TEST0001,A16,CMPD-0013142-1,40,NA,100.439936,NA,uM,16,16,uL
TEST0001,A17,CMPD-0013142-1,40,NA,100.626632,NA,uM,17,17,uL
TEST0001,A18,CMPD-0013142-1,40,NA,100.5866038,NA,uM,18,18,uL
TEST0001,A19,CMPD-0037038-1,40,NA,100.8275084,NA,uM,19,19,uL
TEST0001,A20,CMPD-0037038-1,40,NA,100.9873045,NA,uM,20,20,uL
TEST0001,A21,CMPD-0037038-1,40,NA,100.1978732,NA,uM,21,21,uL
TEST0001,A22,CMPD-0037038-1,40,NA,100.6044877,NA,uM,22,22,uL
TEST0001,A23,PBS,40,NA,5,NA,uM,23,23,uL
TEST0001,A24,RD36882,40,NA,2,NA,uM,24,24,uL
TEST0001,B01,DMSO,40,NA,NA,infinite,uM,25,25,uL
TEST0001,B02,DMSO,40,NA,NA,infinite,uM,26,26,uL
TEST0001,B03,CMPD-0103054-1,40,NA,100.6728312,NA,uM,27,27,uL
TEST0001,B04,CMPD-0103054-1,40,NA,100.6419235,NA,uM,28,28,uL
TEST0001,B05,CMPD-0103054-1,40,NA,100.2520588,NA,uM,29,29,uL
TEST0001,B06,CMPD-0103054-1,40,NA,100.595121,NA,uM,30,30,uL
TEST0001,B07,CMPD-0095812-1,40,NA,100.3798236,NA,uM,31,31,uL
TEST0001,B08,CMPD-0095812-1,40,NA,100.0704057,NA,uM,32,32,uL
TEST0001,B09,CMPD-0095812-1,40,NA,100.6503742,NA,uM,33,33,uL
TEST0001,B10,CMPD-0095812-1,40,NA,100.2984045,NA,uM,34,34,uL
TEST0001,B11,CMPD-0027061-1,40,NA,100.3478169,NA,uM,35,35,uL
TEST0001,B12,CMPD-0027061-1,40,NA,100.2112641,NA,uM,36,36,uL
TEST0001,B13,CMPD-0027061-1,40,NA,100.7421236,NA,uM,37,37,uL
TEST0001,B14,CMPD-0027061-1,40,NA,100.875144,NA,uM,38,38,uL
TEST0001,B15,CMPD-0102340-1,40,NA,100.1304013,NA,uM,39,39,uL
TEST0001,B16,CMPD-0102340-1,40,NA,100.7909596,NA,uM,40,40,uL
TEST0001,B17,CMPD-0102340-1,40,NA,100.030392,NA,uM,41,41,uL
TEST0001,B18,CMPD-0102340-1,40,NA,100.5928755,NA,uM,42,42,uL
TEST0001,B19,CMPD-0073899-1,40,NA,100.1907055,NA,uM,43,43,uL
TEST0001,B20,CMPD-0073899-1,40,NA,100.8693718,NA,uM,44,44,uL
TEST0001,B21,CMPD-0073899-1,40,NA,100.3785381,NA,uM,45,45,uL
TEST0001,B22,CMPD-0073899-1,40,NA,100.2012873,NA,uM,46,46,uL
TEST0001,B23,PBS,40,NA,5,NA,uM,47,47,uL
TEST0001,B24,RD36882,40,NA,2,NA,uM,48,48,uL
TEST0001,C01,DMSO,40,NA,NA,infinite,uM,49,49,uL
