"SMILES","SALT","SALT_RATIO","COMPOUND_ID","SAMPLE_ID","SUPPLIER","SUPPLIER_PART_NO","PARENT_AMW","PARENT_EMW","SALTED_MOLECULAR_WEIGHT","MOLECULAR_FORMULA","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","SOLUBILITY","ALIQUOT_DATE","PURITY_PERCENT","ANALYSIS_DATE","PURITY_METHOD"
"Oc1ccc(C(=O)Cc2ccc(cc2)[N+](=O)[O-])c(O)c1",,,"CPD000413596","SAM004284583","Enamine","Z56764859",273.2457,273.0637,273.2457,"C14H11NO5","BF00010941","A03","DMSO",10.25,"mM",12,"uL","Soluble","28-Mar-14",96.53,"2014-03-28T07:00:00.0","LCELS_MUX2"
"COc1ccc(cc1[N+](=O)[O-])C(=O)N2C(C)Cc3ccccc23",,,"CPD003147938","SAM004326702","Enamine","Z27691221",312.3199,312.111,312.3199,"C17H16N2O4","BF00010941","B03","DMSO",10.25,"mM",12,"uL","Soluble","28-Mar-14",96.65,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Cn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(ccc3o2)[N+](=O)[O-])c(Cl)c1=O",,,"CPD000259738","SAM004284427","Enamine","Z56821528",390.6996,390.0115,390.6996,"C14H7ClN6O6","BF00010941","C03","DMSO",10.24,"mM",12,"uL","Soluble","28-Mar-14",97.12,"2014-03-29T07:00:00.0","LCELS_UPLC3"
"Fc1ccc(NCC(=O)Nc2ccccc2C(=O)NC3CC3)c(Cl)c1",,,"CPD003147691","SAM004326415","Enamine","Z64952443",361.7978,361.0993,361.7978,"C18H17ClFN3O2","BF00010941","D03","DMSO",10.23,"mM",12,"uL","Soluble","28-Mar-14",98.02,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CC(C)N(C(=O)NC(=O)Nc1nc(cs1)c2ccccc2)S(=O)(=O)C",,,"CPD000828020","SAM004284742","Enamine","Z56771997",382.4534,382.0769,382.4534,"C15H18N4O4S2","BF00010941","E03","DMSO",10.2,"mM",12,"uL","Soluble","28-Mar-14",0.0,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"CN1C(=O)N(Cc2ccccc2)C(=C(C(=O)Cn3cnc(n3)C#N)C1=O)N",,,"CPD003147841","SAM004326585","Enamine","Z228464912",365.3461,365.1236,365.3461,"C17H15N7O3","BF00010941","F03","DMSO",10.13,"mM",12,"uL","Soluble","28-Mar-14",97.08,"2014-03-28T07:00:00.0","LCELS_MUX2"
"Cc1cc(\C=C(\C#N)/C(=O)N)c(C)n1c2ccc(I)cc2",,,"CPD003119936","SAM004293281","Enamine","Z44298650",391.2063,391.0181,391.2063,"C16H14IN3O","BF00010941","G03","DMSO",10.22,"mM",12,"uL","Soluble","28-Mar-14",0.0,"2014-03-29T07:00:00.0","LCUV214_UPLC3"
"CC(N1CCC(CC1)C(=O)N)C(=O)Nc2ccc(Cl)c(c2)C(F)(F)F",,,"CPD003148198","SAM004327023","Enamine","Z44517291",377.7891,377.1117,377.7891,"C16H19ClF3N3O2","BF00010941","H03","DMSO",10.06,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"OC(=O)/C=C/c1cn(CCC#N)nc1c2cccc3ccccc23",,,"CPD003120244","SAM004293807","Enamine","Z57023717",317.3479,317.1164,317.3479,"C19H15N3O2","BF00010941","I03","DMSO",10.08,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"CCOc1ccc(cc1OC)C(=O)NNC(=O)C2(CC2)c3ccc(Br)cc3",,,"CPD003148186","SAM004327008","Enamine","Z271506766",433.2957,432.0684,433.2957,"C20H21BrN2O4","BF00010941","J03","DMSO",10.15,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCUV214_MUX2"
"COC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)NC(C)C2CC3CCC2C3",,,"CPD000590449","SAM004286356","Enamine","Z30548227",346.3844,346.1528,346.3844,"C18H22N2O5","BF00010941","K03","DMSO",10.1,"mM",12,"uL","Soluble","28-Mar-14",100.0,"2014-03-28T07:00:00.0","LCELS_MUX2"
