Source Barcode,Source Well,Destination Barcode,Destination Plate Size,Destination Well,Amount Transferred,Amount Units,Final Concentration,Concentration Units,Final Volume,Final Volume Units,Liquid Type,Date Time,Protocol,Is New Plate,Possible Transfer Error
DMSO,A1,BF00007315,384,A1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,B1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,C1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,D1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,E1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,F1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,G1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,H1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,I1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,J1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,K1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,L1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,M1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,N1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,O1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
DMSO,A1,BF00007315,384,P1,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,A2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,B2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,C2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,D2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,E2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,F2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,G2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,H2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,I2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,J2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,K2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,L2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,M2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,N2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,O2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
SUCROSE,A1,BF00007315,384,P2,1.2,uL,,,1.2,uL,,2013-04-18 7:09,Primary Screen,FALSE,FALSE
BF00007315,A1,AP00000004,384,A1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A2,AP00000004,384,A2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A3,AP00000004,384,A3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A4,AP00000004,384,A4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A5,AP00000004,384,A5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A6,AP00000004,384,A6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A7,AP00000004,384,A7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A8,AP00000004,384,A8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A9,AP00000004,384,A9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A10,AP00000004,384,A10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A11,AP00000004,384,A11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A12,AP00000004,384,A12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A13,AP00000004,384,A13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A14,AP00000004,384,A14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A15,AP00000004,384,A15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A16,AP00000004,384,A16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A17,AP00000004,384,A17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A18,AP00000004,384,A18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A19,AP00000004,384,A19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A20,AP00000004,384,A20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A21,AP00000004,384,A21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A22,AP00000004,384,A22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A23,AP00000004,384,A23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,A24,AP00000004,384,A24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B1,AP00000004,384,B1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B2,AP00000004,384,B2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B3,AP00000004,384,B3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B4,AP00000004,384,B4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B5,AP00000004,384,B5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B6,AP00000004,384,B6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B7,AP00000004,384,B7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B8,AP00000004,384,B8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B9,AP00000004,384,B9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B10,AP00000004,384,B10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B11,AP00000004,384,B11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B12,AP00000004,384,B12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B13,AP00000004,384,B13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B14,AP00000004,384,B14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B15,AP00000004,384,B15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B16,AP00000004,384,B16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B17,AP00000004,384,B17,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B18,AP00000004,384,B18,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B19,AP00000004,384,B19,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B20,AP00000004,384,B20,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B21,AP00000004,384,B21,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B22,AP00000004,384,B22,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B23,AP00000004,384,B23,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,B24,AP00000004,384,B24,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C1,AP00000004,384,C1,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C2,AP00000004,384,C2,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C3,AP00000004,384,C3,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C4,AP00000004,384,C4,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C5,AP00000004,384,C5,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C6,AP00000004,384,C6,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C7,AP00000004,384,C7,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C8,AP00000004,384,C8,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C9,AP00000004,384,C9,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C10,AP00000004,384,C10,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C11,AP00000004,384,C11,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C12,AP00000004,384,C12,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C13,AP00000004,384,C13,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C14,AP00000004,384,C14,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C15,AP00000004,384,C15,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
BF00007315,C16,AP00000004,384,C16,0.4,uL,,,0.4,uL,,2013-04-18 7:11,Primary Screen,TRUE,FALSE
