cmpdBarcode	plateType	wellReference	corp_name	batch_number	cmpdConc	supplier
E0000590	Hitpick	A001	DNS000009834	2	10	NA
E0000590	Hitpick	A002	DNS000021194	2	10	NA
E0000590	Hitpick	A003	DNS000066374	3	10	NA
E0000590	Hitpick	A004	DNS000100742	2	10	NA
E0000590	Hitpick	A005	DNS000111813	2	10	NA
E0000590	Hitpick	A006	DNS000144312	2	10	NA
E0000590	Hitpick	A007	DNS000154363	2	10	NA
E0000590	Hitpick	A008	DNS000161184	2	10	NA
E0000590	Hitpick	A009	DNS000163620	2	10	NA
E0000590	Hitpick	A010	DNS001127684	3	10	NA
		A011		NA	NA	NA
E0000053	Standards	A012	DNS000003643	1	10	NA
E0000590	Hitpick	B001	DNS000011550	2	10	NA
E0000590	Hitpick	B002	DNS000022139	2	10	NA
E0000590	Hitpick	B003	DNS000068242	2	10	NA
E0000590	Hitpick	B004	DNS000101355	2	10	NA
E0000590	Hitpick	B005	DNS000113523	2	10	NA
E0000590	Hitpick	B006	DNS000146390	2	10	NA
E0000590	Hitpick	B007	DNS000155096	2	10	NA
E0000590	Hitpick	B008	DNS000162472	2	10	NA
E0000590	Hitpick	B009	DNS000163621	2	10	NA
E0000590	Hitpick	B010	DNS001127705	2	10	NA
		B011		NA	NA	NA
E0000053	Standards	B012	DNS000000001	1	0	NA
E0000590	Hitpick	C001	DNS000013448	2	10	NA
E0000590	Hitpick	C002	DNS000047649	3	10	NA
E0000590	Hitpick	C003	DNS000077304	2	10	NA
E0000590	Hitpick	C004	DNS000101821	2	10	NA
E0000590	Hitpick	C005	DNS000126772	3	10	NA
E0000590	Hitpick	C006	DNS000146577	2	10	NA
E0000590	Hitpick	C007	DNS000155097	2	10	NA
E0000590	Hitpick	C008	DNS000162506	2	10	NA
E0000590	Hitpick	C009	DNS000163622	2	10	NA
E0000590	Hitpick	C010	DNS001127778	2	10	NA
		C011		NA	NA	NA
E0000053	Standards	C012	DNS000003643	1	10	NA
E0000590	Hitpick	D001	DNS000014624	2	10	NA
E0000590	Hitpick	D002	DNS000048340	2	10	NA
E0000590	Hitpick	D003	DNS000085060	2	10	NA
E0000590	Hitpick	D004	DNS000102547	2	10	NA
E0000590	Hitpick	D005	DNS000128016	3	10	NA
E0000590	Hitpick	D006	DNS000148928	2	10	NA
E0000590	Hitpick	D007	DNS000155776	2	10	NA
E0000590	Hitpick	D008	DNS000162507	2	10	NA
E0000590	Hitpick	D009	DNS000163623	2	10	NA
E0000590	Hitpick	D010	DNS001127781	2	10	NA
		D011		NA	NA	NA
E0000053	Standards	D012	DNS000000001	1	0	NA
E0000590	Hitpick	E001	DNS000016530	2	10	NA
E0000590	Hitpick	E002	DNS000048351	2	10	NA
E0000590	Hitpick	E003	DNS000085159	3	10	NA
E0000590	Hitpick	E004	DNS000104839	2	10	NA
E0000590	Hitpick	E005	DNS000129609	3	10	NA
E0000590	Hitpick	E006	DNS000148976	2	10	NA
E0000590	Hitpick	E007	DNS000155794	2	10	NA
E0000590	Hitpick	E008	DNS000163261	2	10	NA
E0000590	Hitpick	E009	DNS000163843	2	10	NA
E0000590	Hitpick	E010	DNS001127783	2	10	NA
		E011		NA	NA	NA
E0000053	Standards	E012	DNS000003643	1	10	NA
E0000590	Hitpick	F001	DNS000016605	2	10	NA
E0000590	Hitpick	F002	DNS000062566	2	10	NA
E0000590	Hitpick	F003	DNS000089351	2	10	NA
E0000590	Hitpick	F004	DNS000106462	2	10	NA
E0000590	Hitpick	F005	DNS000136031	3	10	NA
E0000590	Hitpick	F006	DNS000150554	2	10	NA
E0000590	Hitpick	F007	DNS000157754	2	10	NA
E0000590	Hitpick	F008	DNS000163568	2	10	NA
E0000590	Hitpick	F009	DNS000165908	2	10	NA
E0000590	Hitpick	F010	DNS001127804	2	10	NA
		F011		NA	NA	NA
E0000053	Standards	F012	DNS000000001	1	0	NA
E0000590	Hitpick	G001	DNS000016606	2	10	NA
E0000590	Hitpick	G002	DNS000066096	2	10	NA
E0000590	Hitpick	G003	DNS000097029	2	10	NA
E0000590	Hitpick	G004	DNS000110849	2	10	NA
E0000590	Hitpick	G005	DNS000140693	2	10	NA
E0000590	Hitpick	G006	DNS000151787	2	10	NA
E0000590	Hitpick	G007	DNS000160467	2	10	NA
E0000590	Hitpick	G008	DNS000163569	2	10	NA
E0000590	Hitpick	G009	DNS000178779	3	10	NA
E0000590	Hitpick	G010	DNS001128951	2	10	NA
		G011		NA	NA	NA
E0000053	Standards	G012	DNS000003643	1	10	NA
E0000590	Hitpick	H001	DNS000019213	2	10	NA
E0000590	Hitpick	H002	DNS000066288	2	10	NA
E0000590	Hitpick	H003	DNS000100261	2	10	NA
E0000590	Hitpick	H004	DNS000111770	2	10	NA
E0000590	Hitpick	H005	DNS000144191	2	10	NA
E0000590	Hitpick	H006	DNS000152685	2	10	NA
E0000590	Hitpick	H007	DNS000160470	2	10	NA
E0000590	Hitpick	H008	DNS000163576	2	10	NA
E0000590	Hitpick	H009	DNS000184975	2	10	NA
E0000590	Hitpick	H010	DNS001129091	2	10	NA
		H011		NA	NA	NA
E0000053	Standards	H012	DNS000000001	1	0	NA
C1108712	Hitpick	A001	DNS000003538	1	8.5714	NA
C1108712	Hitpick	A002	DNS000003538	1	2.6786	NA
C1108712	Hitpick	A003	DNS000003538	1	0.83705	NA
C1108712	Hitpick	A004	DNS000003538	1	0.26158	NA
C1108712	Hitpick	A005	DNS000003538	1	0.081743	NA
C1108712	Hitpick	A006	DNS000003538	1	0.025545	NA
C1108712	Hitpick	A007	DNS000003538	1	0.0079827	NA
		A008		NA	NA	NA
C1108712	Hitpick	A009	DNS000000001	1	0	NA
C1108712	Hitpick	A010	DNS000000001	1	0	NA
C1108712	Hitpick	A011	DNS000000001	1	0	NA
C1108712	Hitpick	A012	DNS000000001	1	0	NA
C1108712	Hitpick	A013	DNS000000001	1	0	NA
C1108712	Hitpick	A014	DNS000000001	1	0	NA
		A015		NA	NA	NA
C1108712	Hitpick	A016	DNS000000001	1	0	NA
C1108712	Hitpick	A017	DNS000000001	1	0	NA
C1108712	Hitpick	A018	DNS000000001	1	0	NA
C1108712	Hitpick	A019	DNS000000001	1	0	NA
C1108712	Hitpick	A020	DNS000000001	1	0	NA
C1108712	Hitpick	A021	DNS000000001	1	0	NA
		A022		NA	NA	NA
C1108712	Hitpick	A023	DNS000000001	1	0	NA
C1108712	Hitpick	A024	DNS000000001	1	0	NA
C1108712	Hitpick	A025	DNS000000001	1	0	NA
C1108712	Hitpick	A026	DNS000000001	1	0	NA
C1108712	Hitpick	A027	DNS000000001	1	0	NA
C1108712	Hitpick	A028	DNS000000001	1	0	NA
		A029		NA	NA	NA
C1108712	Hitpick	A030	DNS000000001	1	0	NA
C1108712	Hitpick	A031	DNS000000001	1	0	NA
C1108712	Hitpick	A032	DNS000000001	1	0	NA
C1108712	Hitpick	A033	DNS000000001	1	0	NA
C1108712	Hitpick	A034	DNS000000001	1	0	NA
C1108712	Hitpick	A035	DNS000000001	1	0	NA
C1108712	Hitpick	A036	DNS000000001	1	0	NA
		A037		NA	NA	NA
C1108712	Hitpick	A038	DNS000000001	1	0	NA
C1108712	Hitpick	A039	DNS000000001	1	0	NA
C1108712	Hitpick	A040	DNS000000001	1	0	NA
C1108712	Hitpick	A041	DNS000000001	1	0	NA
C1108712	Hitpick	A042	DNS000000001	1	0	NA
C1108712	Hitpick	A043	DNS000000001	1	0	NA
C1108712	Hitpick	A044	DNS000000001	1	0	NA
C1104682	Standards	A045	DNS001133837	1	85.714	NA
C1104682	Standards	A046	DNS000000001	1	0	NA
C1104682	Standards	A047	DNS001133837	1	85.714	NA
C1104682	Standards	A048	DNS000000001	1	0	NA
C1108712	Hitpick	B001	DNS000000137	3	8.5714	NA
C1108712	Hitpick	B002	DNS000000137	3	2.6786	NA
C1108712	Hitpick	B003	DNS000000137	3	0.83705	NA
C1108712	Hitpick	B004	DNS000000137	3	0.26158	NA
C1108712	Hitpick	B005	DNS000000137	3	0.081743	NA
C1108712	Hitpick	B006	DNS000000137	3	0.025545	NA
C1108712	Hitpick	B007	DNS000000137	3	0.0079827	NA
		B008		NA	NA	NA
C1108712	Hitpick	B009	DNS000000001	1	0	NA
C1108712	Hitpick	B010	DNS000000001	1	0	NA
C1108712	Hitpick	B011	DNS000000001	1	0	NA
C1108712	Hitpick	B012	DNS000000001	1	0	NA
C1108712	Hitpick	B013	DNS000000001	1	0	NA
C1108712	Hitpick	B014	DNS000000001	1	0	NA
		B015		NA	NA	NA
C1108712	Hitpick	B016	DNS000000001	1	0	NA
C1108712	Hitpick	B017	DNS000000001	1	0	NA
C1108712	Hitpick	B018	DNS000000001	1	0	NA
C1108712	Hitpick	B019	DNS000000001	1	0	NA
C1108712	Hitpick	B020	DNS000000001	1	0	NA
C1108712	Hitpick	B021	DNS000000001	1	0	NA
		B022		NA	NA	NA
C1108712	Hitpick	B023	DNS000000001	1	0	NA
C1108712	Hitpick	B024	DNS000000001	1	0	NA
C1108712	Hitpick	B025	DNS000000001	1	0	NA
C1108712	Hitpick	B026	DNS000000001	1	0	NA
C1108712	Hitpick	B027	DNS000000001	1	0	NA
C1108712	Hitpick	B028	DNS000000001	1	0	NA
		B029		NA	NA	NA
C1108712	Hitpick	B030	DNS000000001	1	0	NA
C1108712	Hitpick	B031	DNS000000001	1	0	NA
C1108712	Hitpick	B032	DNS000000001	1	0	NA
C1108712	Hitpick	B033	DNS000000001	1	0	NA
C1108712	Hitpick	B034	DNS000000001	1	0	NA
C1108712	Hitpick	B035	DNS000000001	1	0	NA
C1108712	Hitpick	B036	DNS000000001	1	0	NA
		B037		NA	NA	NA
C1108712	Hitpick	B038	DNS000000001	1	0	NA
C1108712	Hitpick	B039	DNS000000001	1	0	NA
C1108712	Hitpick	B040	DNS000000001	1	0	NA
C1108712	Hitpick	B041	DNS000000001	1	0	NA
C1108712	Hitpick	B042	DNS000000001	1	0	NA
C1108712	Hitpick	B043	DNS000000001	1	0	NA
C1108712	Hitpick	B044	DNS000000001	1	0	NA
C1104682	Standards	B045	DNS000000001	1	0	NA
C1104682	Standards	B046	DNS001133837	1	85.714	NA
C1104682	Standards	B047	DNS000000001	1	0	NA
C1104682	Standards	B048	DNS001133837	1	85.714	NA
C1108712	Hitpick	C001	DNS000003113	1	8.5714	NA
C1108712	Hitpick	C002	DNS000003113	1	2.6786	NA
C1108712	Hitpick	C003	DNS000003113	1	0.83705	NA
C1108712	Hitpick	C004	DNS000003113	1	0.26158	NA
C1108712	Hitpick	C005	DNS000003113	1	0.081743	NA
C1108712	Hitpick	C006	DNS000003113	1	0.025545	NA
C1108712	Hitpick	C007	DNS000003113	1	0.0079827	NA
		C008		NA	NA	NA
C1108712	Hitpick	C009	DNS000000001	1	0	NA
C1108712	Hitpick	C010	DNS000000001	1	0	NA
C1108712	Hitpick	C011	DNS000000001	1	0	NA
C1108712	Hitpick	C012	DNS000000001	1	0	NA
C1108712	Hitpick	C013	DNS000000001	1	0	NA
C1108712	Hitpick	C014	DNS000000001	1	0	NA
		C015		NA	NA	NA
C1108712	Hitpick	C016	DNS000000001	1	0	NA
C1108712	Hitpick	C017	DNS000000001	1	0	NA
C1108712	Hitpick	C018	DNS000000001	1	0	NA
C1108712	Hitpick	C019	DNS000000001	1	0	NA
C1108712	Hitpick	C020	DNS000000001	1	0	NA
C1108712	Hitpick	C021	DNS000000001	1	0	NA
		C022		NA	NA	NA
C1108712	Hitpick	C023	DNS000000001	1	0	NA
C1108712	Hitpick	C024	DNS000000001	1	0	NA
C1108712	Hitpick	C025	DNS000000001	1	0	NA
C1108712	Hitpick	C026	DNS000000001	1	0	NA
C1108712	Hitpick	C027	DNS000000001	1	0	NA
C1108712	Hitpick	C028	DNS000000001	1	0	NA
		C029		NA	NA	NA
C1108712	Hitpick	C030	DNS000000001	1	0	NA
C1108712	Hitpick	C031	DNS000000001	1	0	NA
C1108712	Hitpick	C032	DNS000000001	1	0	NA
C1108712	Hitpick	C033	DNS000000001	1	0	NA
C1108712	Hitpick	C034	DNS000000001	1	0	NA
C1108712	Hitpick	C035	DNS000000001	1	0	NA
C1108712	Hitpick	C036	DNS000000001	1	0	NA
		C037		NA	NA	NA
C1108712	Hitpick	C038	DNS000000001	1	0	NA
C1108712	Hitpick	C039	DNS000000001	1	0	NA
C1108712	Hitpick	C040	DNS000000001	1	0	NA
C1108712	Hitpick	C041	DNS000000001	1	0	NA
C1108712	Hitpick	C042	DNS000000001	1	0	NA
C1108712	Hitpick	C043	DNS000000001	1	0	NA
C1108712	Hitpick	C044	DNS000000001	1	0	NA
C1104682	Standards	C045	DNS001133837	1	85.714	NA
C1104682	Standards	C046	DNS000000001	1	0	NA
C1104682	Standards	C047	DNS001133837	1	85.714	NA
C1104682	Standards	C048	DNS000000001	1	0	NA
